Nodes,Edges,Graph Type,MST Weight,Prim Time (s),Kruskal Time (s)
43,732,tree + 80% edges,110.5,0.0021104812622070312,0.003481626510620117
43,766,tree + 90% edges,160.0,0.0046460628509521484,0.005861043930053711
29,406,complete,388,0.0025014877319335938,0.005688667297363281
29,28,tree,388,0.0013108253479003906,0.0012388229370117188
29,98,tree + 10% edges,226.0,0.0009682178497314453,0.0006148815155029297
29,153,tree + 20% edges,163.0,0.0009949207305908203,0.0006475448608398438
29,197,tree + 30% edges,112.5,0.000957489013671875,0.0013582706451416016
29,240,tree + 40% edges,143.5,0.0017573833465576172,0.0019989013671875
29,271,tree + 50% edges,116.0,0.0017240047454833984,0.0029027462005615234
29,300,tree + 60% edges,153.5,0.002254962921142578,0.0028448104858398438
29,317,tree + 70% edges,115.5,0.0031137466430664062,0.003798961639404297
29,333,tree + 80% edges,118.0,0.003123044967651367,0.004197835922241211
29,342,tree + 90% edges,125.0,0.0031006336212158203,0.003630399703979492
24,276,complete,336,0.002864837646484375,0.004663228988647461
24,23,tree,336,0.0012362003326416016,0.0008924007415771484
24,69,tree + 10% edges,238.0,0.0008287429809570312,0.00040841102600097656
24,111,tree + 20% edges,131.5,0.0009379386901855469,0.0009486675262451172
24,142,tree + 30% edges,110.0,0.0010771751403808594,0.0007243156433105469
24,158,tree + 40% edges,164.0,0.0008175373077392578,0.0006854534149169922
24,185,tree + 50% edges,107.0,0.00080108642578125,0.0007655620574951172
24,198,tree + 60% edges,123.5,0.0007975101470947266,0.0007982254028320312
24,221,tree + 70% edges,135.0,0.0012788772583007812,0.0013954639434814453
24,230,tree + 80% edges,144.0,0.0008251667022705078,0.0014562606811523438
24,232,tree + 90% edges,112.5,0.0006859302520751953,0.0008652210235595703
60,1770,complete,571,0.006118059158325195,0.01271510124206543
60,59,tree,571,0.005062580108642578,0.0056304931640625
60,363,tree + 10% edges,333.5,0.003132343292236328,0.0017788410186767578
60,626,tree + 20% edges,204.5,0.005316257476806641,0.0032062530517578125
60,840,tree + 30% edges,157.5,0.003682374954223633,0.004380702972412109
60,980,tree + 40% edges,146.5,0.004233837127685547,0.0035734176635742188
60,1126,tree + 50% edges,156.0,0.004671573638916016,0.005668163299560547
60,1273,tree + 60% edges,131.5,0.0037164688110351562,0.004791259765625
60,1333,tree + 70% edges,130.5,0.005055427551269531,0.004949092864990234
60,1418,tree + 80% edges,137.5,0.005243778228759766,0.0063686370849609375
60,1470,tree + 90% edges,138.0,0.003740549087524414,0.00680994987487793
44,946,complete,503,0.0038051605224609375,0.0051784515380859375
44,43,tree,503,0.0034601688385009766,0.004053831100463867
44,203,tree + 10% edges,264.5,0.0018072128295898438,0.0014791488647460938
44,341,tree + 20% edges,199.5,0.0017938613891601562,0.002218961715698242
44,457,tree + 30% edges,150.0,0.0028655529022216797,0.0022318363189697266
44,543,tree + 40% edges,151.0,0.002005338668823242,0.0019230842590332031
44,628,tree + 50% edges,146.0,0.0025196075439453125,0.0042378902435302734
44,670,tree + 60% edges,106.0,0.0023262500762939453,0.0025987625122070312
44,724,tree + 70% edges,125.0,0.002187013626098633,0.004085540771484375
44,767,tree + 80% edges,121.5,0.002527475357055664,0.0028679370880126953
44,804,tree + 90% edges,126.0,0.002282857894897461,0.002675294876098633
23,253,complete,408,0.0016455650329589844,0.0018754005432128906
23,22,tree,408,0.0010437965393066406,0.0007581710815429688
23,67,tree + 10% edges,183.0,0.0007114410400390625,0.00038170814514160156
23,99,tree + 20% edges,203.0,0.0005879402160644531,0.00044655799865722656
23,130,tree + 30% edges,153.5,0.0006380081176757812,0.0005342960357666016
23,150,tree + 40% edges,133.5,0.0015027523040771484,0.0010867118835449219
23,170,tree + 50% edges,153.0,0.0010061264038085938,0.0007405281066894531
23,189,tree + 60% edges,107.5,0.0011317729949951172,0.0009338855743408203
23,193,tree + 70% edges,124.5,0.0008070468902587891,0.0007686614990234375
23,202,tree + 80% edges,166.0,0.0008416175842285156,0.0007848739624023438
23,211,tree + 90% edges,79.5,0.0008184909820556641,0.0013802051544189453
25,300,complete,294,0.001216888427734375,0.0020635128021240234
25,24,tree,294,0.0007483959197998047,0.0009508132934570312
25,73,tree + 10% edges,199.5,0.0005967617034912109,0.0006606578826904297
25,113,tree + 20% edges,190.5,0.0019228458404541016,0.0011587142944335938
25,146,tree + 30% edges,143.0,0.0008633136749267578,0.0009274482727050781
25,177,tree + 40% edges,126.0,0.0008497238159179688,0.0006775856018066406
25,193,tree + 50% edges,165.5,0.0007658004760742188,0.0007112026214599609
25,214,tree + 60% edges,146.5,0.0007309913635253906,0.000949859619140625
25,239,tree + 70% edges,133.0,0.001703500747680664,0.0025281906127929688
25,252,tree + 80% edges,93.0,0.0012001991271972656,0.0009119510650634766
25,252,tree + 90% edges,138.0,0.0008733272552490234,0.0009186267852783203
57,1596,complete,560,0.00476527214050293,0.009322166442871094
57,56,tree,560,0.006849765777587891,0.012932538986206055
57,324,tree + 10% edges,280.5,0.009166240692138672,0.004629373550415039
57,558,tree + 20% edges,203.0,0.00757145881652832,0.003410816192626953
57,745,tree + 30% edges,196.5,0.0040285587310791016,0.0067365169525146484
57,910,tree + 40% edges,157.0,0.003739595413208008,0.003687143325805664
57,1047,tree + 50% edges,133.0,0.005211830139160156,0.0045435428619384766
57,1145,tree + 60% edges,146.5,0.0035505294799804688,0.00833439826965332
57,1234,tree + 70% edges,150.5,0.0053331851959228516,0.007839441299438477
57,1275,tree + 80% edges,130.0,0.0038995742797851562,0.0059108734130859375
57,1329,tree + 90% edges,139.5,0.005075693130493164,0.00694584846496582
44,946,complete,445,0.0053141117095947266,0.00913548469543457
44,43,tree,445,0.0035881996154785156,0.005722761154174805
