n,estimate
4,53
4,85
4,53
4,53
4,85
4,53
4,53
4,53
4,53
4,53
4,85
4,85
4,53
4,53
4,53
4,53
4,53
4,53
4,85
4,53
4,53
4,85
4,53
4,85
4,85
4,53
4,85
4,53
4,53
4,85
4,85
4,53
4,85
4,85
4,53
4,53
4,85
4,53
4,53
4,53
4,85
4,53
4,85
4,53
4,53
4,53
4,53
4,85
4,53
4,85
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,85
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,85
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,85
4,85
4,53
4,85
4,53
4,53
4,85
4,53
4,85
4,53
4,53
4,53
4,53
4,85
4,53
4,53
4,85
4,53
4,53
4,53
4,53
4,85
4,53
4,53
4,53
4,53
4,53
4,53
4,85
4,53
4,53
4,53
4,53
4,85
4,85
4,53
4,85
4,53
4,85
4,53
4,53
4,85
4,85
4,85
4,53
4,85
4,53
4,53
4,53
4,53
4,85
4,53
4,53
4,53
4,53
4,53
4,53
4,85
4,53
4,53
4,85
4,53
4,85
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,85
4,53
4,53
4,85
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,85
4,85
4,53
4,53
4,53
4,53
4,85
4,53
4,85
4,53
4,53
4,53
4,53
4,53
4,85
4,53
4,85
4,85
4,53
4,85
4,85
4,53
4,53
4,53
4,53
4,53
4,53
4,53
4,85
5,256
5,256
5,181
5,256
5,256
5,181
5,281
5,181
5,281
5,281
5,181
5,181
5,181
5,256
5,181
5,181
5,281
5,181
5,281
5,256
5,181
5,181
5,281
5,281
5,281
5,181
5,181
5,181
5,181
5,256
5,281
5,181
5,181
5,256
5,281
5,281
5,181
5,181
5,181
5,181
5,181
5,256
5,181
5,181
5,256
5,256
5,181
5,256
5,181
5,181
5,181
5,256
5,181
5,281
5,181
5,181
5,281
5,181
5,181
5,181
5,256
5,256
5,181
5,256
5,256
5,281
5,181
5,256
5,281
5,181
5,256
5,181
5,256
5,256
5,281
5,281
5,181
5,256
5,181
5,281
5,181
5,281
5,281
5,181
5,181
5,281
5,256
5,256
5,181
5,281
5,181
5,281
5,181
5,181
5,256
5,181
5,281
5,281
5,181
5,181
5,181
5,281
5,281
5,181
5,256
5,281
5,256
5,181
5,181
5,281
5,181
5,256
5,281
5,256
5,181
5,256
5,181
5,181
5,281
5,256
5,281
5,181
5,256
5,256
5,181
5,256
5,181
5,256
5,181
5,256
5,281
5,181
5,256
5,181
5,181
5,281
5,181
